INDENTOR,INDYEAR,INDENTNO,INDDATE,DEPTYPE,DEPTCODE,ITEMTYPE,ITEMFOR,ITEMREQ,REMARK1,REQDATE,STATUS,APRVID,USERID,ACTION,INDTYPE,PRTFLG,MACHTYPE,MACHCODE,MACHDESCR
122,20122013,5010,31/01/2012,D,8,C,S,U,Plant General Use.,31/01/2012, ,Y,STORE,ADD,New,P, , , 
122,20122013,5012,31/01/2012,D,8,C,S,O, ,31/01/2012, ,Y,STORE,ADD,New,P, , , 
106,20122013,5016,31/01/2012,D,4,C,S,U,VETTER PRESS ,31/01/2012, ,Y,STORE,ADD,New,P, , , 
122,20122013,5019,31/01/2012,D,4,C,S,U, ,31/01/2012, ,Y,STORE,ADD,Repair,P, , , 
160,20122013,5021,31/01/2012,D,4,C,S,U,commutator problem,31/01/2012, ,Y,STORE,ADD,Repair,P, , , 
122,20122013,5022,31/01/2012,D,4,C,S,O, ,31/01/2012, ,Y,AAM,ADD,New,P, , , 
160,20122013,5025,31/01/2012,D,4,C,S,O, ,31/01/2012, ,Y,STORE,ADD,New,P, , , 
106,20122013,5027,31/01/2012,D,4,C,S,O,Modification. Merco Ventbox Removal work.,31/01/2012, ,Y,STORE,ADD,New,P, , , 
106,20122013,5031,31/01/2012,D,4,C,S,O,Modification. New Merco GT to be Convert.,31/01/2012, ,Y,STORE,ADD,New,P, , , 
